fixture_id,group_name,home_team,away_team,match_date,venue,city
WC26-GA-01,A,Argentina,Canada,2026-06-12,MetLife Stadium,East Rutherford
WC26-GA-02,A,Chile,Peru,2026-06-12,SoFi Stadium,Los Angeles
WC26-GA-03,A,Argentina,Chile,2026-06-16,AT&T Stadium,Dallas
WC26-GA-04,A,Canada,Peru,2026-06-16,Levi's Stadium,San Francisco
WC26-GA-05,A,Argentina,Peru,2026-06-20,Rose Bowl,Pasadena
WC26-GA-06,A,Canada,Chile,2026-06-20,Gillette Stadium,Boston
WC26-GB-01,B,Brazil,Colombia,2026-06-13,MetLife Stadium,East Rutherford
WC26-GB-02,B,Ecuador,Uruguay,2026-06-13,AT&T Stadium,Dallas
WC26-GB-03,B,Brazil,Ecuador,2026-06-17,SoFi Stadium,Los Angeles
WC26-GB-04,B,Colombia,Uruguay,2026-06-17,Rose Bowl,Pasadena
WC26-GB-05,B,Brazil,Uruguay,2026-06-21,Levi's Stadium,San Francisco
WC26-GB-06,B,Colombia,Ecuador,2026-06-21,Gillette Stadium,Boston
WC26-GC-01,C,France,Germany,2026-06-14,MetLife Stadium,East Rutherford
WC26-GC-02,C,Portugal,Switzerland,2026-06-14,AT&T Stadium,Dallas
WC26-GC-03,C,France,Portugal,2026-06-18,SoFi Stadium,Los Angeles
WC26-GC-04,C,Germany,Switzerland,2026-06-18,Rose Bowl,Pasadena
WC26-GC-05,C,France,Switzerland,2026-06-22,Levi's Stadium,San Francisco
WC26-GC-06,C,Germany,Portugal,2026-06-22,Gillette Stadium,Boston
WC26-GD-01,D,England,Netherlands,2026-06-14,BC Place,Vancouver
WC26-GD-02,D,Belgium,Denmark,2026-06-14,Estadio Azteca,Mexico City
WC26-GD-03,D,England,Belgium,2026-06-18,BC Place,Vancouver
WC26-GD-04,D,Netherlands,Denmark,2026-06-18,Estadio Azteca,Mexico City
WC26-GD-05,D,England,Denmark,2026-06-22,BC Place,Vancouver
WC26-GD-06,D,Netherlands,Belgium,2026-06-22,Estadio Azteca,Mexico City
WC26-GE-01,E,Spain,Italy,2026-06-15,MetLife Stadium,East Rutherford
WC26-GE-02,E,Croatia,Turkey,2026-06-15,AT&T Stadium,Dallas
WC26-GE-03,E,Spain,Croatia,2026-06-19,SoFi Stadium,Los Angeles
WC26-GE-04,E,Italy,Turkey,2026-06-19,Rose Bowl,Pasadena
WC26-GE-05,E,Spain,Turkey,2026-06-23,Levi's Stadium,San Francisco
WC26-GE-06,E,Italy,Croatia,2026-06-23,Gillette Stadium,Boston
WC26-GF-01,F,USA,Mexico,2026-06-15,AT&T Stadium,Dallas
WC26-GF-02,F,Morocco,Senegal,2026-06-15,MetLife Stadium,East Rutherford
WC26-GF-03,F,USA,Morocco,2026-06-19,Rose Bowl,Pasadena
WC26-GF-04,F,Mexico,Senegal,2026-06-19,SoFi Stadium,Los Angeles
WC26-GF-05,F,USA,Senegal,2026-06-23,BC Place,Vancouver
WC26-GF-06,F,Mexico,Morocco,2026-06-23,Estadio Azteca,Mexico City
WC26-GG-01,G,Japan,South Korea,2026-06-16,MetLife Stadium,East Rutherford
WC26-GG-02,G,Iran,Saudi Arabia,2026-06-16,AT&T Stadium,Dallas
WC26-GG-03,G,Japan,Iran,2026-06-20,SoFi Stadium,Los Angeles
WC26-GG-04,G,South Korea,Saudi Arabia,2026-06-20,Rose Bowl,Pasadena
WC26-GG-05,G,Japan,Saudi Arabia,2026-06-24,Levi's Stadium,San Francisco
WC26-GG-06,G,South Korea,Iran,2026-06-24,BC Place,Vancouver
WC26-GH-01,H,Uruguay,Panama,2026-06-17,MetLife Stadium,East Rutherford
WC26-GH-02,H,Nigeria,Cameroon,2026-06-17,AT&T Stadium,Dallas
WC26-GH-03,H,Uruguay,Nigeria,2026-06-21,SoFi Stadium,Los Angeles
WC26-GH-04,H,Panama,Cameroon,2026-06-21,Rose Bowl,Pasadena
WC26-GH-05,H,Uruguay,Cameroon,2026-06-25,Levi's Stadium,San Francisco
WC26-GH-06,H,Panama,Nigeria,2026-06-25,Gillette Stadium,Boston
